trial,mean0,mean1,reward0,reward1,choice,reward,run
1,40.0,10.0,42.0,11.0,1,11.0,68
2,40.0,10.0,25.0,4.0,1,4.0,68
3,40.0,10.0,38.0,24.0,1,24.0,68
4,40.0,10.0,42.0,21.0,0,42.0,68
0,80.0,60.0,89.0,56.0,0,89.0,69
1,80.0,60.0,85.0,48.0,0,85.0,69
2,80.0,60.0,77.0,50.0,0,77.0,69
3,80.0,60.0,67.0,59.0,1,59.0,69
4,80.0,60.0,77.0,62.0,0,77.0,69
5,80.0,60.0,84.0,38.0,0,84.0,69
6,80.0,60.0,90.0,60.0,0,90.0,69
7,80.0,60.0,92.0,54.0,0,92.0,69
8,80.0,60.0,73.0,75.0,0,73.0,69
9,80.0,60.0,73.0,64.0,0,73.0,69
0,36.0,40.0,50.0,39.0,1,39.0,70
1,36.0,40.0,46.0,36.0,0,46.0,70
2,36.0,40.0,43.0,36.0,0,43.0,70
3,36.0,40.0,28.0,47.0,1,47.0,70
4,36.0,40.0,20.0,48.0,0,20.0,70
0,70.0,40.0,76.0,39.0,0,76.0,71
1,70.0,40.0,63.0,44.0,1,44.0,71
2,70.0,40.0,72.0,39.0,0,72.0,71
3,70.0,40.0,73.0,55.0,1,55.0,71
4,70.0,40.0,78.0,47.0,0,78.0,71
5,70.0,40.0,64.0,30.0,0,64.0,71
6,70.0,40.0,77.0,45.0,0,77.0,71
7,70.0,40.0,72.0,48.0,0,72.0,71
8,70.0,40.0,67.0,46.0,0,67.0,71
9,70.0,40.0,73.0,52.0,0,73.0,71
0,60.0,30.0,42.0,34.0,1,34.0,72
1,60.0,30.0,72.0,31.0,0,72.0,72
2,60.0,30.0,59.0,20.0,1,20.0,72
3,60.0,30.0,73.0,28.0,1,28.0,72
4,60.0,30.0,64.0,37.0,0,64.0,72
0,60.0,72.0,58.0,72.0,1,72.0,73
1,60.0,72.0,73.0,76.0,0,73.0,73
2,60.0,72.0,60.0,69.0,1,69.0,73
3,60.0,72.0,45.0,64.0,1,64.0,73
4,60.0,72.0,65.0,51.0,0,65.0,73
5,60.0,72.0,62.0,76.0,0,62.0,73
6,60.0,72.0,77.0,72.0,1,72.0,73
7,60.0,72.0,50.0,82.0,1,82.0,73
8,60.0,72.0,61.0,80.0,1,80.0,73
9,60.0,72.0,58.0,69.0,1,69.0,73
0,60.0,90.0,69.0,80.0,1,80.0,74
1,60.0,90.0,58.0,87.0,1,87.0,74
2,60.0,90.0,50.0,80.0,0,50.0,74
3,60.0,90.0,62.0,101.0,1,101.0,74
4,60.0,90.0,60.0,96.0,1,96.0,74
5,60.0,90.0,54.0,83.0,1,83.0,74
6,60.0,90.0,39.0,94.0,1,94.0,74
7,60.0,90.0,52.0,97.0,1,97.0,74
8,60.0,90.0,74.0,84.0,1,84.0,74
9,60.0,90.0,57.0,85.0,1,85.0,74
0,52.0,60.0,41.0,64.0,0,41.0,75
1,52.0,60.0,46.0,62.0,0,46.0,75
2,52.0,60.0,57.0,58.0,1,58.0,75
3,52.0,60.0,56.0,63.0,0,56.0,75
4,52.0,60.0,66.0,60.0,1,60.0,75
5,52.0,60.0,36.0,47.0,1,47.0,75
6,52.0,60.0,50.0,62.0,1,62.0,75
7,52.0,60.0,61.0,65.0,1,65.0,75
8,52.0,60.0,44.0,64.0,1,64.0,75
9,52.0,60.0,59.0,67.0,1,67.0,75
0,60.0,56.0,54.0,53.0,1,53.0,76
1,60.0,56.0,77.0,59.0,0,77.0,76
2,60.0,56.0,66.0,66.0,0,66.0,76
3,60.0,56.0,54.0,47.0,1,47.0,76
4,60.0,56.0,61.0,54.0,0,61.0,76
5,60.0,56.0,57.0,76.0,0,57.0,76
6,60.0,56.0,55.0,46.0,0,55.0,76
7,60.0,56.0,62.0,55.0,0,62.0,76
8,60.0,56.0,51.0,60.0,0,51.0,76
9,60.0,56.0,69.0,46.0,0,69.0,76
0,32.0,40.0,23.0,41.0,0,23.0,77
1,32.0,40.0,47.0,39.0,0,47.0,77
2,32.0,40.0,34.0,32.0,1,32.0,77
3,32.0,40.0,27.0,32.0,1,32.0,77
4,32.0,40.0,37.0,36.0,0,37.0,77
5,32.0,40.0,31.0,28.0,0,31.0,77
6,32.0,40.0,44.0,42.0,0,44.0,77
7,32.0,40.0,25.0,36.0,0,25.0,77
8,32.0,40.0,22.0,38.0,0,22.0,77
9,32.0,40.0,31.0,43.0,0,31.0,77
0,60.0,48.0,49.0,41.0,1,41.0,78
1,60.0,48.0,56.0,55.0,0,56.0,78
2,60.0,48.0,62.0,55.0,1,55.0,78
3,60.0,48.0,61.0,48.0,1,48.0,78
4,60.0,48.0,58.0,54.0,0,58.0,78
0,60.0,80.0,70.0,73.0,0,70.0,79
1,60.0,80.0,53.0,84.0,0,53.0,79
2,60.0,80.0,51.0,101.0,0,51.0,79
3,60.0,80.0,53.0,78.0,1,78.0,79
4,60.0,80.0,67.0,82.0,1,82.0,79
5,60.0,80.0,52.0,62.0,1,62.0,79
6,60.0,80.0,61.0,71.0,1,71.0,79
7,60.0,80.0,57.0,85.0,1,85.0,79
8,60.0,80.0,52.0,87.0,1,87.0,79
9,60.0,80.0,59.0,65.0,1,65.0,79
0,60.0,64.0,61.0,59.0,0,61.0,80
1,60.0,64.0,51.0,58.0,1,58.0,80
2,60.0,64.0,64.0,67.0,1,67.0,80
3,60.0,64.0,61.0,72.0,1,72.0,80
4,60.0,64.0,50.0,62.0,1,62.0,80
0,60.0,40.0,79.0,38.0,0,79.0,81
1,60.0,40.0,57.0,33.0,0,57.0,81
2,60.0,40.0,63.0,25.0,1,25.0,81
3,60.0,40.0,63.0,40.0,1,40.0,81
4,60.0,40.0,42.0,27.0,0,42.0,81
5,60.0,40.0,60.0,44.0,0,60.0,81
6,60.0,40.0,60.0,40.0,0,60.0,81
7,60.0,40.0,68.0,39.0,0,68.0,81
8,60.0,40.0,74.0,37.0,0,74.0,81
9,60.0,40.0,65.0,42.0,0,65.0,81
0,68.0,60.0,66.0,63.0,1,63.0,82
1,68.0,60.0,78.0,63.0,0,78.0,82
2,68.0,60.0,78.0,57.0,1,57.0,82
3,68.0,60.0,67.0,62.0,1,62.0,82
4,68.0,60.0,75.0,54.0,0,75.0,82
0,20.0,40.0,18.0,41.0,1,41.0,83
1,20.0,40.0,24.0,24.0,0,24.0,83
2,20.0,40.0,12.0,31.0,0,12.0,83
3,20.0,40.0,25.0,50.0,0,25.0,83
4,20.0,40.0,38.0,38.0,1,38.0,83
0,30.0,60.0,14.0,55.0,1,55.0,84
1,30.0,60.0,26.0,62.0,1,62.0,84
2,30.0,60.0,44.0,61.0,1,61.0,84
3,30.0,60.0,21.0,57.0,0,21.0,84
4,30.0,60.0,28.0,52.0,1,52.0,84
0,28.0,40.0,24.0,39.0,0,24.0,85
1,28.0,40.0,26.0,52.0,1,52.0,85
2,28.0,40.0,26.0,32.0,0,26.0,85
3,28.0,40.0,16.0,33.0,1,33.0,85
4,28.0,40.0,15.0,39.0,1,39.0,85
0,80.0,60.0,81.0,69.0,1,69.0,86
1,80.0,60.0,81.0,57.0,0,81.0,86
2,80.0,60.0,76.0,72.0,0,76.0,86
3,80.0,60.0,73.0,61.0,0,73.0,86
4,80.0,60.0,66.0,55.0,0,66.0,86
5,80.0,60.0,83.0,63.0,0,83.0,86
6,80.0,60.0,77.0,66.0,0,77.0,86
7,80.0,60.0,76.0,72.0,0,76.0,86
8,80.0,60.0,90.0,50.0,0,90.0,86
9,80.0,60.0,82.0,67.0,0,82.0,86
0,40.0,48.0,46.0,36.0,0,46.0,87
1,40.0,48.0,50.0,44.0,1,44.0,87
2,40.0,48.0,32.0,46.0,0,32.0,87
3,40.0,48.0,56.0,49.0,1,49.0,87
4,40.0,48.0,36.0,44.0,1,44.0,87
0,40.0,44.0,43.0,41.0,0,43.0,88
1,40.0,44.0,50.0,53.0,1,53.0,88
2,40.0,44.0,41.0,50.0,0,41.0,88
3,40.0,44.0,36.0,34.0,1,34.0,88
4,40.0,44.0,53.0,42.0,1,42.0,88
5,40.0,44.0,44.0,40.0,1,40.0,88
6,40.0,44.0,31.0,34.0,1,34.0,88
7,40.0,44.0,36.0,43.0,0,36.0,88
8,40.0,44.0,46.0,39.0,1,39.0,88
9,40.0,44.0,29.0,52.0,1,52.0,88
0,60.0,40.0,60.0,50.0,0,60.0,89
1,60.0,40.0,60.0,30.0,1,30.0,89
2,60.0,40.0,39.0,45.0,1,45.0,89
3,60.0,40.0,66.0,38.0,1,38.0,89
4,60.0,40.0,69.0,33.0,0,69.0,89
5,60.0,40.0,71.0,43.0,0,71.0,89
6,60.0,40.0,68.0,43.0,0,68.0,89
7,60.0,40.0,64.0,39.0,0,64.0,89
8,60.0,40.0,61.0,33.0,0,61.0,89
9,60.0,40.0,63.0,44.0,0,63.0,89
0,60.0,72.0,63.0,77.0,0,63.0,90
1,60.0,72.0,62.0,71.0,1,71.0,90
2,60.0,72.0,43.0,76.0,0,43.0,90
3,60.0,72.0,59.0,84.0,1,84.0,90
4,60.0,72.0,50.0,69.0,1,69.0,90
0,40.0,48.0,38.0,43.0,1,43.0,91
1,40.0,48.0,42.0,49.0,0,42.0,91
2,40.0,48.0,44.0,58.0,0,44.0,91
3,40.0,48.0,25.0,51.0,0,25.0,91
4,40.0,48.0,40.0,40.0,1,40.0,91
0,32.0,40.0,24.0,45.0,0,24.0,92
1,32.0,40.0,18.0,26.0,0,18.0,92
2,32.0,40.0,46.0,30.0,1,30.0,92
3,32.0,40.0,41.0,24.0,0,41.0,92
4,32.0,40.0,31.0,35.0,1,35.0,92
5,32.0,40.0,38.0,21.0,1,21.0,92
6,32.0,40.0,33.0,37.0,1,37.0,92
7,32.0,40.0,33.0,42.0,1,42.0,92
8,32.0,40.0,29.0,44.0,1,44.0,92
9,32.0,40.0,31.0,40.0,1,40.0,92
0,40.0,44.0,40.0,33.0,0,40.0,93
1,40.0,44.0,32.0,51.0,0,32.0,93
2,40.0,44.0,40.0,56.0,1,56.0,93
3,40.0,44.0,38.0,44.0,0,38.0,93
4,40.0,44.0,34.0,41.0,1,41.0,93
5,40.0,44.0,36.0,47.0,1,47.0,93
6,40.0,44.0,42.0,42.0,1,42.0,93
7,40.0,44.0,41.0,44.0,1,44.0,93
8,40.0,44.0,40.0,45.0,1,45.0,93
9,40.0,44.0,45.0,48.0,1,48.0,93
0,60.0,64.0,63.0,51.0,0,63.0,94
1,60.0,64.0,57.0,58.0,1,58.0,94
2,60.0,64.0,53.0,55.0,0,53.0,94
3,60.0,64.0,51.0,82.0,0,51.0,94
4,60.0,64.0,57.0,67.0,1,67.0,94
0,20.0,40.0,32.0,28.0,0,32.0,95
1,20.0,40.0,19.0,39.0,1,39.0,95
2,20.0,40.0,18.0,53.0,1,53.0,95
3,20.0,40.0,10.0,51.0,1,51.0,95
4,20.0,40.0,14.0,38.0,1,38.0,95
0,40.0,20.0,41.0,19.0,1,19.0,96
1,40.0,20.0,46.0,23.0,1,23.0,96
2,40.0,20.0,42.0,21.0,0,42.0,96
3,40.0,20.0,28.0,36.0,0,28.0,96
4,40.0,20.0,38.0,24.0,0,38.0,96
0,40.0,28.0,41.0,27.0,1,27.0,97
1,40.0,28.0,38.0,26.0,0,38.0,97
2,40.0,28.0,49.0,41.0,0,49.0,97
3,40.0,28.0,41.0,39.0,1,39.0,97
4,40.0,28.0,44.0,39.0,0,44.0,97
0,60.0,56.0,59.0,59.0,0,59.0,98
1,60.0,56.0,52.0,63.0,1,63.0,98
2,60.0,56.0,57.0,58.0,0,57.0,98
3,60.0,56.0,71.0,55.0,1,55.0,98
4,60.0,56.0,59.0,57.0,1,57.0,98
0,36.0,40.0,35.0,38.0,0,35.0,99
1,36.0,40.0,42.0,20.0,1,20.0,99
2,36.0,40.0,36.0,25.0,0,36.0,99
3,36.0,40.0,28.0,48.0,1,48.0,99
4,36.0,40.0,38.0,34.0,0,38.0,99
